127.0.0.1 - - [30/Apr/2021:12:03:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:03:28 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:03:31 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:19:30 +0530] "GET /foodmanagement/admin_login.jsp HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:19:40 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:19:41 +0530] "GET /foodmanagement/admin_login.jsp?id1=123 HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:19:52 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:19:52 +0530] "GET /foodmanagement/admin_login.jsp?id1=Laxmi HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:20:20 +0530] "POST /foodmanagement/admin_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:20:20 +0530] "GET /foodmanagement/admin_home.jsp HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:20:28 +0530] "GET /foodmanagement/add_agent.jsp HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:20:32 +0530] "GET /foodmanagement/add_orphan.jsp HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:20:42 +0530] "GET /foodmanagement/view_agent.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:39 +0530] "GET /foodmanagement/help.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:39 +0530] "GET /foodmanagement/css/icomoon.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:39 +0530] "GET /foodmanagement/css/themify-icons.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:39 +0530] "GET /foodmanagement/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:39 +0530] "GET /foodmanagement/css/glyphicon.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Apr/2021:12:21:40 +0530] "GET /open-iconic/svg/phone.svg HTTP/1.1" 404 784
