127.0.0.1 - - [04/Jun/2021:18:45:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:46:03 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:46:05 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:46:36 +0530] "GET /foodmanagement/home.html HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:46:36 +0530] "GET /foodmanagement/images/img_bg_1.jpg HTTP/1.1" 200 64546
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:46:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:50:19 +0530] "GET /foodmanagement/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:50:23 +0530] "GET /foodmanagement/donar_login.jsp HTTP/1.1" 200 5084
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:50:43 +0530] "POST /foodmanagement/donar_login_action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:50:46 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:51:17 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:51:42 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:51:53 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:52:08 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7512
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:52:58 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:53:33 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7528
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:54:18 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:54:36 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:55:11 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:55:27 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:55:45 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:56:10 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:56:42 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:57:09 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:57:11 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7561
0:0:0:0:0:0:0:1 - - [04/Jun/2021:18:57:26 +0530] "GET /foodmanagement/donar_home.jsp HTTP/1.1" 200 7558
